V1,art_id,lang,nb_songs,dz_name,mbz_artist_id,sc_artist_id
37748,75491,fr,2,Lady Gaga,650e7db6-b795-4eb5-a702-5ea2fc46c848,522177
39005,198,es,2,Céline Dion,847e8a0c-cc20-4213-9e16-975515c2a926,60087
39379,13011,ru,2,Soprano,e52815f0-0db9-49b2-acb7-1af6b2dfa936,627188
39496,198,af,2,Céline Dion,847e8a0c-cc20-4213-9e16-975515c2a926,60087
42643,310260,en,3,Stromae,ab2528d9-719f-4261-8098-21849222a0f2,828329
43715,12526056,en,3,Tayc,0c980a2b-ca09-4d04-ad80-e7c2ce9621fb,5125715
45081,892,es,3,Coldplay,cc197bad-dc9c-440d-a5b5-d52ba2e14234,555560
48312,8706544,fr,4,Dua Lipa,6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f,5250517
48385,542,ru,4,David Guetta,302bd7b9-d012-4360-897a-93b00c855680,572836
54265,542,es,6,David Guetta,302bd7b9-d012-4360-897a-93b00c855680,572836
54683,3469,es,7,Sia,2f548675-008d-4332-876c-108b0c7ab9c5,567274
55164,4087782,en,7,Lacrim,10df38da-1292-4881-bd96-c6dfead3934b,859596
63969,892,de,13,Coldplay,cc197bad-dc9c-440d-a5b5-d52ba2e14234,555560
71233,4986771,fr,22,OBOY,66ffca84-c76f-416b-9371-89ccb7bb9da6,5686598
