"";"hashed_id";"profession_declaree";"profession_recode"
"3916";3297;"Mangement gestion d'entreprise";"Conseiller en gestion d'entreprise"
"3917";4306;"Travailleur indépendant";NA
"3918";10086;"Assistante juridique";"Assistante juridique"
"3919";10092;"Cadre de ressources humaines des collectivités territoriales";"Cadre de ressources humaines (RH) des collectivités territoriales"
"3920";8081;"Chargée de communication";"Chargée de communication"
"3921";3521;"Professeure agrégée en lycée";"Professeure agrégée en lycée"
"3922";6164;"Directeur commercial (50 salariés ou plus)";"Directeur commercial (50 salariés ou plus)"
"3923";6566;"chef hotesse de caisse";"Chef de caisse"
"3924";2969;"Conducteur de bus";"Conducteur de bus, de car"
"3925";4382;"Agent d'accueil d'établissement d'enseignement";"Agent d'accueil d'établissement d'enseignement"
"3926";10136;"Assistante administrative d'entreprise";"Assistante administrative d'entreprise"
"3927";4257;"Directeur des ventes";"Directeur des ventes"
"3928";10310;"Ingénieur de sécurité informatique";"Ingénieur de sécurité informatique"
"3929";659;"Assistante communication";"Assistante de communication"
"3930";8267;"Web designer";"Web designer"
"3931";7816;"Alternant bureaux d'etude";"Technicien de bureau d'études de l'industrie"
"3932";1419;"Développeur full-stack";"Développeur full-stack"
"3933";6429;"chargé de support informatique";"Technicienne support informatique"
"3934";3485;"Conseiller en insertion sociale et professionnelle";"Conseiller en insertion sociale et professionnelle"
"3935";10063;"Ingénieur d'application informatique";"Ingénieur d'application informatique"
"3936";5092;"Biostatisticienne";"Biostatisticienne"
"3937";4631;"Serveur de restaurant";"Serveur de restaurant"
"3938";8698;"Agent de service hospitalier";"Agent de service hospitalier (ASH)"
"3939";7494;"Préparateur de commande";"Préparateur de commandes"
"3940";7740;"Stagiaire";NA
"3941";3798;"Mécanicien avion";"Mécanicien avion"
"3942";5672;"Agent commercial en produits informatiques";"Agent commercial en produits informatiques"
"3943";7174;"Ingenieur";NA
"3944";7782;"Ingénieur génie civil";"Ingénieur du génie climatique"
"3945";4415;"Agent territorial spécialisé des écoles maternelles (ATSEM)";"Agent territorial spécialisé des écoles maternelles (ATSEM)"
"3946";8756;"Ingénieur recherche et développement (R&D) de l'industrie";"Ingénieur recherche et développement (R&D) de l'industrie"
"3947";6057;"Secrétaire administrative des collectivités territoriales";"Secrétaire administrative des collectivités territoriales"
"3948";7825;"Brasseur";"Brasseur"
"3949";2779;"Généraliste RH";"Assistant ressources humaines (RH)"
"3950";1335;"Chef de projet urbaniste";"Urbaniste"
"3951";419;"Assistante de direction des collectivités territoriales";"Assistante de direction des collectivités territoriales"
"3952";9488;"Orthophoniste";"Orthophoniste"
"3953";4308;"Monitrice éducatrice";"Monitrice éducatrice"
"3954";9431;"Architecte de systèmes d'information";"Architecte de systèmes d'information"
"3955";6154;"Storyboardeuse";"Story boarder"
"3956";581;"Sous officier de Gendarmerie";"Sous-lieutenante de gendarmerie"
"3957";1654;"Gestionnaire locatif";"Gestionnaire locatif"
"3958";8987;"Technicien du bâtiment";"Artisan électricien du bâtiment"
"3959";6241;"Cheffe de projet";"Cheffe de projet informatique"
"3960";1290;"Chauffeur routier";"Chauffeur routier"
"3961";6962;"CHARGEE DE PRODUCTION";"Chargée de production de spectacles"
"3962";7432;"Professeur des écoles (PE)";"Professeur des écoles (PE)"
"3963";7631;"Consultant conseil aux entreprises";"Consultant conseil aux entreprises"
"3964";5693;"Cuisiner";"Cuisinier"
"3965";7089;"Consultante marketing";"Consultante marketing"
"3966";4904;"Data analyst";"Data analyst"
"3967";1563;"Professeur des ecoles";"Professeur des écoles (PE)"
"3968";6870;"Chargé de mission qualité de vie au travail";"Chargé de mission environnement"
"3969";708;"COMPLIANCE OFFICER";"Chief compliance officer"
"3970";299;"Agent de entretien";"Agent d'entretien de la voirie"
"3971";8145;"Ingénieure développement logiciel";"Ingénieure développement logiciel"
"3972";6340;"Secrétaire médicale";"Secrétaire médicale"
"3973";6952;"Technicien exploitation nucléaire";"Technicien nucléaire"
"3974";8769;"Maroquinière";"Maroquinière"
"3975";5390;"Gendarme";"Gendarme"
"3976";7058;"Agent immobilier (directeur d'agence)";"Agent immobilier (directeur d'agence)"
"3977";4051;"Assistante médico-administrative";"Assistante médico-administrative"
"3978";5311;"Chef pâtissier";"Chef pâtissier"
"3979";3976;"Assistante commerciale export";"Assistante commerciale export"
"3980";5226;"Assistante ressources humaines";"Assistante ressources humaines (RH)"
"3981";9666;"Hôtesse de caisse";"Hôtesse de caisse"
"3982";9694;"Directeur d'agence de publicité";"Directeur d'agence de publicité"
"3983";825;"Artisan menuisier du bâtiment";"Artisan menuisier du bâtiment"
"3984";7406;"Bibliothécaire";"Bibliothécaire"
"3985";9390;"Cadre commercial";"Cadre commercial"
"3986";2330;"Ingénieur-conseil informatique";"Ingénieur-conseil informatique"
"3987";7929;"Assistante polyvalente";"Vendeuse polyvalente"
"3988";4293;"Chargé de clientèle du commerce";"Chargé de clientèle du commerce"
"3989";642;"Statisticienne";"Statisticienne"
"3990";4270;"Chargée de production audiovisuelle";"Chargée de production audiovisuelle"
"3991";8629;"Haute fonctionnaire (État)";"Haute fonctionnaire (État)"
"3992";10196;"Ingénieure en prévention des risques";"Ingénieure prévention des risques industriels"
"3993";4410;"Dessinatrice illustratrice en biologie marine";"Dessinatrice illustratrice"
"3994";8597;"cOMPTABLE";"Technicien comptable"
"3995";912;"Directeur des ressources humaines d'entreprise";"Directeur des ressources humaines (DRH) d'entreprise"
"3996";6625;"Notaire";"Notaire"
"3997";3335;"Cadre commercial de banque";"Cadre commercial de banque"
"3998";10076;"Assistante administrative d'entreprise";"Assistante administrative d'entreprise"
"3999";1585;"Contrôleuse de gestion";"Contrôleuse de gestion"
"4000";5702;"Charge d’affaires";"Chargée d'affaires bancaires"
"4001";3921;"Electricien";"Électricien du bâtiment"
"4002";5133;"Assistante de direction d'entreprise";"Assistante de direction d'entreprise"
"4003";9027;"Chef de projet ingénierie publique";"Chef de projet ingénierie publique"
"4004";1145;"Livreuse de repas";"Livreuse de repas à domicile"
"4005";2039;"Chargée de prévention santé, sécurité, environnement";"Chargée de prévention santé, sécurité, environnement"
"4006";4669;"Ingénieur automaticien";"Ingénieur automobile (production)"
"4007";5696;"cadre secteur prive";NA
"4008";4250;"Cadre commercial de l'industrie";"Cadre commercial de l'industrie"
"4009";7714;"Infirmier à domicile";"Infirmier à domicile"
"4010";3923;"Restaurateur (café, restaurant, etc.)";"Restaurateur (café, restaurant, etc.)"
"4011";8685;"Enseignante vacataire de l'enseignement supérieur";"Enseignante vacataire de l'enseignement supérieur"
"4012";5803;"Webdesigner";"Web designer"
"4013";8492;"Assistante réalisatrice";"Assistante-réalisatrice"
"4014";9817;"Cadre de santé";"Cadre de santé"
"4015";8483;"Infirmière d'entreprise";"Infirmière d'entreprise"
"4016";8735;"Avocat associé";"Avocat associé"
"4017";5607;"Régisseur événementiel";"Régisseur d'événementiel"
"4018";8034;"Responsable marketing";"Responsable marketing"
"4019";4769;"Répartition pharmaceutique";"Conditionneur de l'industrie pharmaceutique"
"4020";408;"Assistante de service social";"Assistante de service social"
"4021";3393;"Chef cuisinier";"Chef cuisinier"
"4022";10015;"Agent d'exploitation des transports";"Agent d'exploitation des transports"
"4023";7176;"Expert documentaliste";"Expert documentaliste"
"4024";3051;"INGENIEUR COMMERCIAL";"Ingénieur commercial"
"4025";4656;"Conseillère en insertion sociale et professionnelle";"Conseillère en insertion sociale et professionnelle"
"4026";9623;"Chef d’entreprise";"Chef d'entreprise de l'industrie"
"4027";6851;"Technicien environnement (protection de l'environnement)";"Technicien environnement (protection de l'environnement)"
"4028";231;"Ingénieur logiciel";"Ingénieur logiciel"
"4029";4923;"Préparateur en pharmacie";"Préparateur en pharmacie"
"4030";8958;"Ingénieure recherche et développement (R&D) de l'industrie";"Ingénieure recherche et développement (R&D) de l'industrie"
"4031";6668;"Directeur technique de l'industrie (50 salariés ou plus)";"Directeur technique de l'industrie (50 salariés ou plus)"
"4032";9600;"Business manager";"Business manager"
"4033";9379;"Pâtissière dans un restaurant";"Pâtissière dans un restaurant"
"4034";5325;"Directeur de production industrielle (50 salariés ou plus)";"Directeur de production industrielle (50 salariés ou plus)"
"4035";3274;"Ingénieur de recherche publique";"Ingénieur de recherche publique"
"4036";8195;"Analyste programmeuse";"Analyste programmeuse"
"4037";9746;"Chargée de clientèle export";"Chargée de clientèle du commerce"
"4038";9411;"Architecte urbaniste";"Architecte urbaniste"
"4039";148;"Technicien de maintenance d'équipements industriels";"Technicien de maintenance d'équipements industriels"
"4040";4025;"Coiffeur visagiste";"Coiffeur visagiste"
"4041";397;"Assistante socio-éducative (ASS)";"Assistante socio-éducative (ASS)"
"4042";5169;"Adjoint chef de rayon";"Chef de rayon"
"4043";2641;"Formateur pour adulte";"Formateur pour adulte"
"4044";5975;"Commercial en produits informatiques";"Commercial en produits informatiques"
"4045";242;"Chargé de communication";"Chargé de communication"
"4046";3626;"Ingénieur en mécanique";"Ingénieur en mécanique (production)"
"4047";10269;"Ingénieur du BTP";"Ingénieur de chantier du BTP"
"4048";4910;"Assistante commerciale";"Assistante commerciale"
"4049";8260;"Kinésithérapeute ostéopathe";"Kinésithérapeute ostéopathe"
"4050";8775;"Cadre commerciale de banque";"Cadre commerciale de banque"
"4051";4710;"Assistante socio-éducative (éducatrice spécialisée)";"Assistante socio-éducative (éducatrice spécialisée)"
"4052";10321;"Chef de projet erp";"Chef de projet informatique"
"4053";9154;"Expert comptable - commissaire aux comptes";"Expert comptable - commissaire aux comptes"
"4054";8553;"Pharmacien";"Pharmacien"
"4055";3951;"Directeur commercial (50 salariés ou plus)";"Directeur commercial (50 salariés ou plus)"
"4056";8306;"Cadre dirigeant d'entreprise de services";"Cadre dirigeant d'entreprise de services"
"4057";4756;"Chargé d'études en environnement";"Chargé d'études en environnement"
"4058";474;"Apprenti mécanicien automobile";"Apprenti mécanicien automobile"
"4059";5096;"Co-gérante d'un bar-restaurant";"Gérante de bar-restaurant"
"4060";8975;"Ingénieur d'affaires";"Ingénieur d'affaires"
"4061";373;"Cuisinier de collectivité";"Cuisinier de collectivité"
"4062";3735;"Cadre de santé formatrice";"Cadre de santé formatrice"
"4063";1855;"Adjoint administratif territorial";"Agent administratif des collectivités territoriales"
"4064";9829;"Cadre bancaire";"Cadre commerciale de banque"
"4065";7951;"Product Owner Big Data";"Product manager"
"4066";8985;"Technicien de maintenance d'équipements industriels";"Technicien de maintenance d'équipements industriels"
"4067";9342;"Employé de banque";"Employé de banque"
"4068";3309;"Chargée de relations publiques";"Chargée de relations publiques"
"4069";6082;"Responsable spa";NA
"4070";2749;"Oenologue";"Œnologue"
"4071";2672;"Infirmier spécialisé";"Infirmier spécialisé"
"4072";2726;"Directeur juridique";"Directeur juridique"
"4073";9393;"Ingénieur agronome";"Ingénieur agronome"
"4074";10074;"Directeur de la communication";"Directeur de la communication"
"4075";3918;"Chef chantier";"Chef de chantier BTP"
"4076";7917;"Ingénieur";"Ingénieur des mines"
"4077";8930;"Infirmier à domicile";"Infirmier à domicile"
"4078";2076;"Agent commercial en assurances";"Agent commercial en assurances"
"4079";4276;"Assistante de direction d'entreprise";"Assistante de direction d'entreprise"
"4080";5861;"Attaché commercial (vente de biens aux entreprises)";"Attaché commercial (vente de biens aux entreprises)"
"4081";9587;"Douanier";"Douanier"
"4082";7130;"Électrotechnicien de maintenance industrielle";"Électrotechnicien de maintenance industrielle"
"4083";9538;"Commercante";"Gérante mandataire de commerce"
"4084";6709;"Assistante de formation";"Assistante de formation"
"4085";850;"Enseignant (professeur des écoles)";"Enseignant (professeur des écoles)"
"4086";7722;"Assistant administratif d'entreprise";"Assistant administratif d'entreprise"
"4087";8491;"Aide soignante";"Aide-soignante"
"4088";5758;"Neuropsychologue";"Neuropsychologue"
"4089";2215;"Directeur business unit (50 salariés ou plus)";"Directeur business unit (50 salariés ou plus)"
"4090";9789;"Prothésiste ongulaire";"Prothésiste ongulaire"
"4091";6036;"Juriste";"Juriste"
"4092";4534;"Chef d'établissement d'éducation adaptée et spécialisée";"Chef d'établissement d'éducation adaptée et spécialisée"
"4093";7407;"Consultant associé conseil aux entreprises";"Consultant associé conseil aux entreprises"
"4094";9426;"Agent de maitrise";"Agent de maîtrise administrative"
"4095";5297;"Chaudronnier soudeur tuyauteur";"Chaudronnier soudeur tuyauteur"
"4096";5406;"Chef de groupe btp";"Chef de groupe achats du BTP"
"4097";933;"Éducateur Sportif";"Éducateur sportif"
"4098";9151;"Agent d'accueil de bibliothèque";"Agent d'accueil de bibliothèque"
"4099";1188;"Directeur industriel";"Directeur industriel"
"4100";3644;"Gestionnaire ressources humaines";"Gestionnaire des ressources humaines (RH) d'entreprise"
"4101";9933;"Inspecteur des finances publiques";"Inspecteur des finances publiques"
"4102";8908;"Chef d’entreprise";"Chef d'entreprise de l'industrie"
"4103";7285;"Assistante administrative d'entreprise";"Assistante administrative d'entreprise"
"4104";9344;"Vétérinaire";"Vétérinaire"
"4105";5161;"Ingénieur agronome";"Ingénieur agronome"
"4106";3119;"Professeur des écoles";"Professeur des écoles (PE)"
"4107";4260;"Technicien CEA";"Technicien électricien"
"4108";8037;"Cadre commercial de banque";"Cadre commercial de banque"
"4109";6875;"Directeur de recherche publique (chercheur)";"Directeur de recherche publique (chercheur)"
"4110";2836;"Assistante commerciale export";"Assistante commerciale export"
"4111";3414;"Assistante RH";"Attachée RH de l'État"
"4112";1044;"Dessinateur industriel";"Dessinateur industriel"
"4113";6722;"Attachée administrative des collectivités territoriales";"Attachée administrative des collectivités territoriales"
"4114";1015;"Électricien d'entretien industriel";"Électricien d'entretien industriel"
"4115";1937;"Manager de la grande distribution";"Manager de la grande distribution"
"4116";8789;"Assistante dentaire";"Assistante dentaire"
"4117";8808;"Assistant administratif et pédagogique";"Agent administratif de l'État"
"4118";589;"Responsable services généraux et accueil";"Responsable des services généraux"
"4119";1337;"Auditeur interne";"Auditeur interne"
"4120";1243;"Assistante de direction d'entreprise";"Assistante de direction d'entreprise"
"4121";8127;"Enseignante agrégée dans le supérieur (université, école)";"Enseignante agrégée dans le supérieur (université, école)"
"4122";9305;"Gestionnaire back office";"Gestionnaire back office"
"4123";1438;"Correspondant informatique";"Correspondant informatique"
"4124";8863;"Consultant en ressources humaines";"Consultant en ressources humaines (RH)"
"4125";2219;"Educatrice de jeunes enfants";"Éducatrice de jeunes enfants (EJE)"
"4126";8352;"Contrôleur de fabrication";"Contrôleur de chantier"
"4127";3454;"Cheffe de projets européens";"Cheffe de projet télécom"
"4128";6792;"Régisseur général de spectacles";"Régisseur général de spectacles"
"4129";2920;"Électrotechnicien de maintenance industrielle";"Électrotechnicien de maintenance industrielle"
"4130";2991;"Chargé de communication";"Chargé de communication"
"4131";5720;"Ingénieur de production industrielle";"Ingénieur de production industrielle"
"4132";5370;"Photographe professionnel";"Photographe"
"4133";4706;"Ingénieur acheteur de l'industrie";"Ingénieur acheteur de l'industrie"
"4134";10241;"Préparatrice en pharmacie";"Préparatrice en pharmacie"
"4135";4314;"Ingénieure d'études en informatique";"Ingénieure d'études en informatique"
"4136";4558;"Administrateur de banque";"Administrateur de banque"
"4137";4662;"Cadre supply chain";"Cadre supply chain"
"4138";1940;"Agent d’exploitation";"Agent d'exploitation des transports"
"4139";2769;"Chargée de communication";"Chargée de communication"
"4140";7693;"Cheffe de projets";NA
"4141";10028;"Cadre commercial de l'industrie";"Cadre commercial de l'industrie"
"4142";8369;"Étudiante";NA
"4143";4055;"Marin de la marine marchande";"Marin de la marine marchande"
"4144";7433;"Product Owner";"Product manager"
"4145";4137;"Ingénieur de fabrication industrielle";"Ingénieur de fabrication industrielle"
"4146";7663;"Responsable des ressources humaines d'entreprise";"Responsable des ressources humaines (RH) d'entreprise"
"4147";1374;"Préparateur de blocs opératoires";"Infirmier de bloc opératoire"
"4148";2352;"Tuyauteur de l'industrie des métaux";"Tuyauteur de l'industrie des métaux"
"4149";6697;"Soigneuse animalière";"Soigneuse animalière"
"4150";6370;"Kiné";"Kinésithérapeute"
"4151";8760;"Ingénieur écologue";"Ingénieur écologue"
"4152";2433;"Magasinier (logistique)";"Magasinier (logistique)"
"4153";7890;"Commandant des armées";"Commandant des armées"
"4154";1827;"Technicien d'essais automobiles";"Technicien d'essais automobiles"
"4155";1874;"Acheteur approvisionneur du BTP";"Acheteur approvisionneur du BTP"
"4156";520;"Professeur certifié en collège";"Professeur certifié en collège"
"4157";8834;"Expert systèmes et réseaux informatiques";"Expert systèmes et réseaux informatiques"
"4158";7629;"Consultante marketing digital";"Consultante marketing"
"4159";5547;"PRESIDENT DE";NA
"4160";9167;"Chargée de mission environnement";"Chargée de mission environnement"
"4161";1276;"Gestion de projet patrimoine mondial";"Conseiller en gestion de patrimoine"
"4162";6852;"Admin Sys";"Administrateur de système d'information"
"4163";7855;"Ingénieur développement informatique";"Ingénieur développement informatique"
"4164";6675;"Directeur d’agence bancaire";"Directeur d'agence bancaire"
"4165";365;"Technicienne d'expérimentation agronomique";"Technicienne d'exploitation eau"
"4166";10164;"Auditeur";"Auditeur interne"
"4167";8654;"gestionnaire pédagogique";"Coordonnatrice pédagogique de l'enseignement"
"4168";1340;"Gestionnaire locatif";"Gestionnaire locatif"
"4169";2188;"Chef barman";"Chef barman"
"4170";7719;"Btp";NA
"4171";2;"Artisan peintre en bâtiment";"Artisan peintre en bâtiment"
"4172";7000;"Gérant de commerce de biens intermédiaires";"Gérant de commerce de biens intermédiaires"
"4173";832;"Ingénieur territorial";"Ingénieur territorial"
"4174";1603;"Cadre dirigeant (50 salariés ou plus)";"Cadre dirigeant (50 salariés ou plus)"
"4175";8274;"Enquêteur de gendarmerie";"Enquêteur de gendarmerie"
"4176";2265;"Responsable de site de traitement de déchets";"Responsable de site de traitement de déchets"
"4177";9408;"Agent d'accueil et d'information";"Agent d'accueil et d'information"
"4178";9307;"Enseignant (professeur des écoles)";"Enseignant (professeur des écoles)"
"4179";3183;"Agent de fabrication en mécanique";"Agent de fabrication en mécanique"
"4180";6029;"Agent d'accompagnement du tourisme";"Agent d'accompagnement du tourisme"
"4181";2365;"Dessinateur industriel";"Dessinateur industriel"
"4182";7925;"Ingénieure de sécurité industrielle";"Ingénieure de sécurité industrielle"
"4183";9834;"GÉRANTE DE SOCIÉTÉ COMMERCE";"Administratrice de société"
"4184";9662;"Chef d'entreprise de loisirs";"Chef d'entreprise de loisirs"
"4185";3631;"Assistante administrative de l'État";"Assistante administrative de l'État"
"4186";657;"Chargée de communication";"Chargée de communication"
"4187";4994;"Assistante commerciale";"Assistante commerciale"
"4188";8853;"Conseiller commercial en automobiles";"Conseiller commercial en automobiles"
"4189";9787;"Responsable de maintenance médicale";"Responsable de maintenance industrielle"
"4190";1705;"Accompagnante des élèves en situation de handicap (AESH)";"Accompagnante des élèves en situation de handicap (AESH)"
"4191";4185;"Consultante en communication";"Consultante en communication"
"4192";9751;"Directeur de la formation (50 salariés ou plus)";"Directeur de la formation (50 salariés ou plus)"
"4193";1748;"Électricien du bâtiment";"Électricien du bâtiment"
"4194";7535;"Product manager";"Product manager"
"4195";4393;"Expert en cybersécurité";"Expert en cybersécurité"
"4196";7781;"Responsable des études et applications informatiques";"Responsable des études et applications informatiques"
"4197";4394;"ingenieur";NA
"4198";9231;"Technicien de bureau d'études de l'industrie";"Technicien de bureau d'études de l'industrie"
"4199";733;"Cadre Supérieur de Santé";"Cadre de santé"
"4200";1083;"Conducteur d'engins BTP";"Conducteur d'engins BTP"
"4201";5186;"artisant";"Artisane d'art"
"4202";6591;"Technicien support informatique";"Technicien support informatique"
"4203";1549;"Ingénieur d'application informatique";"Ingénieur d'application informatique"
"4204";6441;"Enseignant (instituteur)";"Enseignant (instituteur)"
"4205";8271;"Apprentie en chaudronnerie industrielle";NA
"4206";4820;"Cadre commercial de banque";"Cadre commercial de banque"
"4207";5749;"Responsable qualité";"Responsable qualité"
"4208";2909;"Directeur d'organisme de la sécurité sociale";"Directeur d'organisme de la sécurité sociale"
"4209";10097;"Artisan en travaux publics";"Artisan en travaux publics"
"4210";6689;"Chargé des applications informatiques";"Chargé des applications informatiques"
"4211";5451;"Secrétaire médicale";"Secrétaire médicale"
"4212";9236;"Libéral";NA
"4213";9317;"Géomaticien";"Expert en bases de données géographiques"
"4214";619;"Consultant informatique";"Consultant informatique"
"4215";10067;"Cadre";NA
"4216";5450;"Employé de banque";"Employé de banque"
"4217";5373;"Gestionnaire RH";"Gestionnaire de paie"
"4218";9322;"Responsable maintenance";"Responsable de maintenance industrielle"
"4219";5754;"receptionniste";"Réceptionniste"
"4220";4309;"Infirmière puéricultrice";"Infirmière puéricultrice"
"4221";1743;"Chef de projet finance";"Chef de projet d'affaires"
"4222";1479;"Mécanicien réparateur poids lourd";"Mécanicien réparateur poids lourds"
"4223";4674;"Ingénieur aéronautique (production)";"Ingénieur aéronautique (production)"
"4224";1125;"Ingénieur d'études du bâtiment";"Ingénieur d'études du bâtiment"
"4225";9269;"Enseigniste";"Enseigniste"
"4226";6822;"Vendeur / préparateur de commande";"Préparateur de commandes"
"4227";3741;"Pharmacien hospitalier";"Pharmacien hospitalier"
"4228";6576;"Président Directeur Général (PDG) d'entreprise du BTP";"Directeur général d'entreprise du BTP"
"4229";184;"Médecin hospitalier (praticien hospitalier)";"Médecin hospitalier (praticien hospitalier)"
"4230";9900;"Vendeuse en électroménager";"Vendeuse en électroménager"
"4231";8499;"Assistant d'éducation (AED)";"Assistant d'éducation (AED)"
"4232";5116;"Opticienne-lunetière";"Opticienne-lunetière"
"4233";5334;"Enseignant agrégé en lycée";"Enseignant agrégé en lycée"
"4234";8788;"Cadre administratif des collectivités territoriales";"Cadre administratif des collectivités territoriales"
"4235";1233;"Technicien de biologie médicale";"Technicien de biologie médicale"
"4236";6645;"Chef monteur de l'audiovisuel";"Chef monteur de l'audiovisuel"
"4237";3046;"Cadre commercial";"Cadre commercial"
"4238";2741;"Électrotechnicien de maintenance industrielle";"Électrotechnicien de maintenance industrielle"
"4239";5896;"Cadre dirigeant d'entreprise industrielle";"Cadre dirigeant d'entreprise industrielle"
"4240";9293;"Category manager (catman)";"Category manager (catman)"
"4241";6602;"Comptable d'entreprise";"Comptable d'entreprise"
"4242";1608;"Militaire du rang";"Militaire du rang"
"4243";4104;"Responsable de programmes immobiliers";"Responsable de programmes immobiliers"
"4244";4374;"Ingénieur commercial";"Ingénieur commercial"
"4245";9994;"Enseignante certifiée en collège";"Enseignante certifiée en collège"
"4246";4240;"Officier de la marine nationale";"Officier de la marine nationale"
"4247";6756;"Aménagement d'intérieur";"Décorateur d'intérieur"
"4248";3380;"Ingénieure hydrométéo";"Ingénieure de la météorologie"
"4249";1017;"Enseignante (professeure des écoles)";"Enseignante (professeure des écoles)"
"4250";7944;"Assistante clientèle";"Assistante clientèle"
"4251";1556;"Cadre commercial";"Cadre commercial"
"4252";9845;"Conseiller commercial auprès de particuliers";"Conseiller commercial auprès de particuliers"
"4253";1590;"Agent commercial en fournitures industrielles";"Agent commercial en fournitures industrielles"
"4254";6985;"Ingénieur développement logiciel";"Ingénieur développement logiciel"
"4255";7110;"Assistante sociale";"Assistante sociale"
"4256";254;"Chef de produit marketing";"Chef de produit marketing"
"4257";1029;"responsable service des publics d'un musée";"Responsable service social"
"4258";2517;"Chargé d'affaires commerciales";"Chargé d'affaires commerciales"
"4259";742;"Équipier polyvalent de la restauration rapide";"Équipier polyvalent de la restauration rapide"
"4260";5533;"Consultante conseil aux entreprises";"Consultante conseil aux entreprises"
"4261";9195;"INGENIEUR INFORMATIQUE";"Ingénieur d'application informatique"
"4262";10350;"Ingénieur de contrôle qualité";"Ingénieur de contrôle qualité"
"4263";5818;"Responsable communication";"Responsable communication"
"4264";3930;"Secrétaire administrative d'entreprise";"Secrétaire administrative d'entreprise"
"4265";7898;"Chargé de recherche publique (chercheur)";"Chargé de recherche publique (chercheur)"
"4266";4818;"Gestionnaire conseils allocataires";NA
"4267";1840;"Chargé de recherche publique (chercheur)";"Chargé de recherche publique (chercheur)"
"4268";10141;"Chef d'équipe/ manager";"Chef d'équipe BTP"
"4269";5289;"Coiffeuse";"Coiffeuse"
"4270";7737;"Responsable business unit";"Directrice business unit"
"4271";383;"Responsable assurance qualité";"Responsable assurance qualité"
"4272";5340;"Chef de service informatique";"Chef de service informatique"
"4273";8226;"Chef d'équipe travaux publics";"Chef d'équipe travaux publics"
"4274";1164;"PREPARATEUR DE COMMANDE";"Préparateur de commandes"
"4275";4204;"Viticulteur";"Viticulteur"
"4276";7009;"Taxi";"Taxi"
"4277";4100;"Serveur de restaurant";"Serveur de restaurant"
"4278";2500;"Analyste financier";"Analyste financier"
"4279";2316;"Diététicienne nutritionniste";"Diététicienne nutritionniste"
"4280";724;"Réparateur frigoriste en entreprise";"Réparateur frigoriste en entreprise"
"4281";2811;"Ingénieur commercial";"Ingénieur commercial"
"4282";10274;"Chauffeur-livreur (camionnette)";"Chauffeur-livreur (camionnette)"
"4283";1885;"Aide soignante";"Aide-soignante"
"4284";10152;"Animatrice en ehpad";"Animatrice sociale"
"4285";318;"Assistante de direction d'entreprise";"Assistante de direction d'entreprise"
"4286";8577;"Agent immobilier (directrice d'agence)";"Agent immobilier (directeur d'agence)"
"4287";2985;"Agent de production";"Agent de production en mécanique"
"4288";4933;"Collégien";NA
"4289";10082;"Assistante juridique";"Assistante juridique"
"4290";8089;"Préparateur de commandes cariste";"Préparateur de commandes cariste"
"4291";9586;"Chef de projet digital";"Chef de projet digital"
"4292";4501;"Vigneron";"Vigneron"
"4293";2843;"Commercial";"Représentant en matériels de bureau"
"4294";10166;"Conseiller commercial auprès de particuliers";"Conseiller commercial auprès de particuliers"
"4295";6074;"Commerçant en alimentation";"Commerçant en alimentation"
"4296";4396;"Psychomotricienne";"Psychomotricienne"
"4297";8413;"Intérim";NA
"4298";9244;"Ingénieur d'affaires";"Ingénieur d'affaires"
"4299";3743;"Enseignant certifié en collège";"Enseignant certifié en collège"
"4300";8120;"Ergothérapeute";"Ergothérapeute"
"4301";5354;"Administrateur réseau informatique";"Administrateur réseau informatique"
"4302";3850;"Contrôleur financier";"Contrôleur financier"
"4303";5602;"Assistante comptable";"Assistante comptable"
"4304";8401;"Dessinateur projeteur BTP";"Dessinateur projeteur BTP"
"4305";799;"Ingénieur développement informatique";"Ingénieur développement informatique"
"4306";2534;"ide";"Infirmier"
"4307";989;"Maçon";"Maçon"
"4308";5822;"Secrétaire administrative des collectivités territoriales";"Secrétaire administrative des collectivités territoriales"
"4309";3993;"Technicien des travaux publics";"Manœuvre des travaux publics"
"4310";2738;"Électricien plombier chauffagiste";"Électricien plombier chauffagiste"
"4311";111;"Ingénieure d'études (enseignement supérieur, recherche publique)";"Ingénieure d'études (enseignement supérieur, recherche publique)"
"4312";2611;"Analyste informatique";"Analyste informatique"
"4313";5873;"Banquier";"Agente commerciale de banque"
"4314";1802;"Contrôleur de gestion";"Contrôleur de gestion"
"4315";3432;"Chargée de projet eau et biodiversité";"Chargée de projet et de développement territorial"
"4316";7100;"ingénieur informatique";"Ingénieur développement informatique"
"4317";8960;"Chargé de mission tourisme";"Chargé de mission tourisme"
"4318";4520;"Assistant familial";"Assistant familial"
"4319";7128;"conduite d'operation infrastructure";"Opérateur de conduite et maintenance"
"4320";2388;"RRH";"Chargé d'études en ressources humaines (RH)"
"4321";9164;"Enseignante certifiée en lycée (CAPES, CAPET)";"Enseignante certifiée en lycée"
"4322";5228;"Cadre banque";"Cadre commerciale de banque"
"4323";5595;"Agent commercial en matériels de transport";"Agent commercial en matériels de transport"
"4324";6943;"Conceptrice designer graphique";"Conceptrice designer graphique"
"4325";274;"Facteur";"Facteur"
"4326";10406;"Marketing Operations Analyst EMEA";"Responsable marketing"
