"";"hashed_id";"profession_declaree";"profession_recode"
"2023";6628;"Infirmière de bloc opératoire";"Infirmière de bloc opératoire"
"2024";5412;"Éducateur de jeunes enfants (EJE)";"Éducateur de jeunes enfants (EJE)"
"2025";4984;"Éducateur spécialisé";"Éducateur spécialisé"
"2026";3263;"Medecin";"Médecin généraliste"
"2027";8526;"Directeur financier d'entreprise (50 salariés ou plus)";"Directeur financier d'entreprise (50 salariés ou plus)"
"2028";4326;"Secrétaire médicale";"Secrétaire médicale"
"2029";4262;"Directeur financier d'entreprise (50 salariés ou plus)";"Directeur financier d'entreprise (50 salariés ou plus)"
"2030";5173;"DR CNRS";"Directeur de recherche"
"2031";2729;"Restaurateur (café, restaurant, etc.)";"Restaurateur (café, restaurant, etc.)"
"2032";1209;"Responsable de magasin du commerce";"Responsable de magasin du commerce"
"2033";9603;"Maréchal des logis chef de gendarmerie";"Maréchal des logis chef de gendarmerie"
"2034";1258;"Ingénieure de l'agriculture et de l'environnement (IAE)";"Ingénieure de l'agriculture et de l'environnement (IAE)"
"2035";9568;"Esthéticienne à domicile";"Esthéticienne à domicile"
"2036";4810;"Ingénieur de l'armement";"Ingénieur de l'armement"
"2037";6420;"Infirmière";"Infirmière"
"2038";8283;"Chef de produit marketing";"Chef de produit marketing"
"2039";8753;"Cadre";NA
"2040";2156;"Directeur des transports (50 salariés ou plus)";"Directeur des transports (50 salariés ou plus)"
"2041";6603;"Professeure des écoles (PE)";"Professeure des écoles (PE)"
"2042";4659;"Cadre dirigeant d'entreprise de services";"Cadre dirigeant d'entreprise de services"
"2043";7838;"Coach agile informatique";"Coach agile informatique"
"2044";9697;"Barman";"Barman"
"2045";267;"Chef de projet digital";"Chef de projet digital"
"2046";6721;"Graphiste";"Graphiste"
"2047";7602;"Sage-femme";"Sage-femme"
"2048";7318;"Ingénieur";"Ingénieur des mines"
"2049";3160;"Développeur en informatique";"Développeur en informatique"
"2050";5683;"Infirmière de bloc opératoire";"Infirmière de bloc opératoire"
"2051";7301;"Contrôleur de gestion";"Contrôleur de gestion"
"2052";6329;"Technicienne supérieur en avionique des aéronefs sur hélicoptères";"Technicien supérieur des études et de l'exploitation de l'aviation civile (TSEEAC)"
"2053";902;"Chef de magasin de vente";"Chef de magasin de vente"
