"";"dz_name.x";"diff_raw";"factor_raw";"diff";"factor"
"857";"Erich Kunzel";0;0;-7;-0,435233160621763
"858";"The Vivaldi Philharmonic Orchestra";0;0;-8;-0,5
"859";"The Royal Classical Orchestra";0;0;-8;-0,5
"860";"Royal Philharmonic Orchestra, Alfred Scholz";0;0;-8;-0,5
"861";"Uri Caine Ensemble";0;0;-6;-0,375
"862";"Riccardo Muti & Wiener Philharmoniker";0;0;-8;-0,5
"863";"Ensemble Modern";0;0;-6;-0,4
"864";"Gina Bachauer";0;0;-7;-0,466666666666667
"865";"Chicago Symphony Orchestra, Fritz Reiner";0;0;-7;-0,466666666666667
"866";"Richard Stamp";0;0;-7;-0,466666666666667
"867";"Trio Metral";0;0;-7;-0,466666666666667
"868";"New York Philharmonic;Pierre Boulez";0;0;-7;-0,466666666666667
"869";"Pawel Przytocki";0;0;-6;-0,409090909090908
"870";"Aquiles Delle Vigne";0;0;-7;-0,5
"871";"George Pretre";0;0;-7;-0,5
"872";"Classic Flames";0;0;-7;-0,5
"873";"Elias String Quartet";0;0;-7;-0,5
"874";"Los Angeles Chamber Orchestra, G. Schwarz, Vivaldi Baroque Group";0;0;-6;-0,461538461538462
"875";"Tovijs Lifsics";0;0;-6;-0,461538461538462
"876";"Dame Margaret Price/Wolfgang Sawallisch";0;0;-6;-0,461538461538462
"877";"Emilia Gliozzi";0;0;-6;-0,461538461538462
"878";"Pierre Bardon";0;0;-6;-0,461538461538462
"879";"John Newmark";0;0;-7;-0,56
"880";"The Danish Wind Octet with Friends";0;0;-6;-0,5
"881";"Baby Mozart Orchestra, Peaceful Music Baby Club";0;0;-9;-0,75
"882";"Jadran Duncumb";0;0;-6;-0,5
"883";"Orquesta Joven De Andalucía";0;0;-6;-0,5
"884";"Pierre Goy";0;0;-6;-0,5
"885";"Elzbieta Sternlicht";0;0;-6;-0,5
"886";"Simon Trpceski";0;0;-6;-0,5
"887";"English Chamber Orchestra/Jeffrey Tate";0;0;-6;-0,5
"888";"Youri Egorov";0;0;-6;-0,5
"889";"Svjatoslav Richter";0;0;-6;-0,5
"890";"Ensemble Amati; Raymond Dessaints (Mendelssohn)";0;0;-6;-0,5
"891";"Hortense Cartier-Bresson";0;0;-6;-0,5
"892";"Le Rappel des Oiseaux";0;0;-6;-0,5
"893";"William Christie & Les Arts Florissants";0;0;-6;-0,5
"894";"Vladimir Mishchuk";0;0;-6;-0,5
"895";"Iddo Bar-Shaï";0;0;-6;-0,6
"896";"Sergey Tanin";0;0;-7;-0,777777777777778
"897";"Mordecai Shehori";0;0;-6;-0,666666666666667
"898";"Adalberto Maria Riva";0;0;-6;-0,75
