artist_id,genre
68015,Pop
68133,Classique
68275,Pop
68287,Rap/Hip Hop
68314,Pop
68321,Pop
68371,Pop
68376,Jazz
68415,Livres audio
68501,Alternative
68517,Pop
68674,Musique africaine
68741,Classique
68788,Rock
68793,Musique africaine
68890,Films/Jeux vidéo
68959,Rap/Hip Hop
68995,Electro
69011,Pop
69037,Classique
69125,Pop
69138,Pop
69168,Classique
69182,Musique africaine
69199,Rap/Hip Hop
69211,Pop
69263,Electro
69326,Classique
69330,Electro
69358,Rap/Hip Hop
69381,Musique indienne
69395,Jeunesse
69470,Electro
69526,Pop
69546,Chanson française
69589,Films/Jeux vidéo
69638,Country
69683,R&B
69732,Pop
69756,Dance
69778,Classique
69903,Classique
69912,Pop
69939,Rap/Hip Hop
69963,Rock
69967,Jazz
69999,R&B
70001,Pop
70047,Pop
70076,Musique asiatique
70086,Pop
70105,Pop
70147,Classique
70157,Country
70161,Pop
70215,Pop
70219,Pop
70230,Jeunesse
70253,Pop
70325,Chanson française
70330,Musique asiatique
70333,Chanson française
70390,Pop
70407,Latino
70446,Pop
70456,Pop
70507,Jeunesse
70579,Films/Jeux vidéo
70694,Pop
70708,Jazz
70711,Rock
70735,Latino
70758,Musique asiatique
70818,Films/Jeux vidéo
70822,Musique asiatique
70874,Musique africaine
70883,Pop
70948,Alternative
71033,Alternative
71137,Classique
71187,Pop
71221,Jeunesse
71225,Pop
71255,Rap/Hip Hop
71364,Rap/Hip Hop
71423,Classique
71444,Classique
71513,Jeunesse
71552,Pop
71622,Pop
71791,Pop
71794,Musique indienne
71797,Musique asiatique
71798,Musique asiatique
71818,Classique
71839,Classique
71841,Pop
71864,Jazz
71866,Jazz
71926,Pop
71961,Pop
72005,Jazz
72070,Electro
72130,Pop
72220,Pop
72358,Dance
72374,Jazz
72378,Pop
72401,Classique
72433,Films/Jeux vidéo
72541,Pop
72546,Jeunesse
72644,Pop
72935,Classique
72967,Pop
73019,Rap/Hip Hop
73186,Pop
73189,Electro
73316,Latino
73328,Jazz
73347,Electro
73437,Films/Jeux vidéo
73469,Jazz
73474,Pop
73475,Pop
73491,Jazz
73514,Pop
73564,Classique
73577,Classique
73603,Pop
73650,Pop
73668,Jazz
73706,Pop
73741,Musique asiatique
73744,Jeunesse
73822,Pop
73956,Pop
73958,Musique asiatique
73985,Pop
74042,Pop
74163,Pop
74248,Pop
74300,Pop
74330,Chanson française
74345,Rap/Hip Hop
74385,Pop
74409,Rap/Hip Hop
74426,Pop
74493,Pop
74639,Pop
74668,Jazz
74710,Chanson française
74732,Chanson française
74742,Chanson française
74849,Pop
74925,Pop
74971,Jazz
74972,Pop
74998,Rock
75020,Films/Jeux vidéo
75031,Pop
75076,Classique
75093,Chanson française
75119,Jazz
75131,Jeunesse
75133,Classique
75269,Folk
75276,Folk
75277,Pop
75318,Rap/Hip Hop
75365,Pop
75377,Pop
75418,Electro
75516,Dance
75537,Pop
75655,Jazz
75994,Alternative
76002,Rap/Hip Hop
76106,Folk
76108,Pop
76118,Classique
76178,Classique
76205,Pop
76230,Rock
76244,Pop
76285,Classique
76302,Country
76325,Classique
76388,Jazz
76399,Jazz
76490,Pop
76495,Pop
76643,Musique asiatique
76645,Musique asiatique
76738,Jazz
76740,R&B
76853,Jazz
76879,Pop
76883,Musique africaine
76954,Folk
77013,Electro
77115,Pop
77146,Classique
77200,Pop
77225,Pop
77264,Pop
77271,Pop
77291,Pop
77326,Pop
77385,Classique
77536,Alternative
77548,Classique
77565,Classique
77567,Films/Jeux vidéo
77582,Pop
77607,Films/Jeux vidéo
77696,Classique
77750,Rap/Hip Hop
77772,Rap/Hip Hop
77791,Classique
77885,Pop
77966,Singer & Songwriter
78041,Classique
78107,Classique
78155,Jazz
78393,Pop
78429,Folk
78449,Pop
78480,Pop
78481,Pop
78521,Pop
78558,Classique
78561,Classique
78604,Films/Jeux vidéo
78618,Alternative
78636,Livres audio
78764,Alternative
78770,Jazz
78889,Rap/Hip Hop
78988,Jazz
79033,Electro
79057,Films/Jeux vidéo
79100,Alternative
79251,Jazz
79495,Classique
79504,Classique
79539,Jazz
79616,Musique asiatique
79650,Livres audio
79704,Classique
79717,Films/Jeux vidéo
79825,Classique
79927,Classique
80063,Pop
80246,Classique
80388,Pop
80405,Alternative
80425,Classique
80517,Jeunesse
80710,Pop
80810,Classique
80852,Pop
80866,Jazz
80928,Pop
80982,Pop
81007,Pop
81134,Pop
81155,Pop
81234,Rap/Hip Hop
81259,Rap/Hip Hop
81261,Musique brésilienne
81466,Pop
81616,Dance
81662,Pop
81693,Pop
81901,Pop
81951,Pop
81960,Chanson française
81964,Pop
82028,Musique brésilienne
82111,Pop
82121,Pop
82155,Electro
82229,Jazz
82280,Pop
82484,Latino
82664,Jazz
82679,Chanson française
82683,Jazz
82760,Alternative
82892,Livres audio
82898,Pop
82961,Rap/Hip Hop
82962,Pop
82990,Rock
82991,Rock
82993,Rap/Hip Hop
82999,Pop
83000,Pop
83004,Dance
83015,Electro
83019,Pop
83027,Electro
83041,Alternative
83057,Electro
83058,Films/Jeux vidéo
83070,Pop
83159,Latino
83220,Latino
83258,Folk
83384,Pop
83508,Pop
83518,Pop
83530,Rock
83539,Electro
83553,Latino
83558,Classique
83569,Films/Jeux vidéo
83583,Pop
83771,Pop
83783,Latino
83832,Electro
83854,Alternative
83953,Jazz
83954,Electro
83982,Films/Jeux vidéo
83983,Jazz
83996,Alternative
84011,Pop
84019,Pop
84022,Rap/Hip Hop
84034,Rap/Hip Hop
84120,Pop
84134,Rap/Hip Hop
84141,R&B
84143,Pop
84188,Latino
84231,Pop
84273,Singer & Songwriter
84311,Musique africaine
84349,Musique africaine
84490,Pop
84491,Pop
84515,Pop
84535,Pop
84536,Pop
84537,Chanson française
84556,Pop
84561,Pop
84581,Pop
84609,Classique
84722,Chanson française
84738,Classique
84740,Jeunesse
84750,Folk
84799,Pop
84842,Musique brésilienne
84849,Pop
84850,Pop
84863,Pop
84867,Pop
84886,Pop
84898,Rock
84932,Rock
84937,Alternative
84965,Jazz
84978,Rock
84979,Pop
85024,Jeunesse
85061,Rap/Hip Hop
85067,Rap/Hip Hop
85071,Chanson française
85074,Chanson française
85080,Chanson française
85082,Chanson française
85084,Chanson française
85085,Chanson française
85087,Chanson française
85165,Latino
85266,Chanson française
85272,Electro
85345,Musique arabe
85520,Rap/Hip Hop
85521,Musique africaine
85561,Electro
85596,Pop
85701,Electro
85749,Reggae
85853,Electro
85876,Rap/Hip Hop
85978,Electro
86182,Pop
86189,Electro
86228,Jazz
86371,Jazz
86384,R&B
86532,Alternative
86565,Pop
86620,Rap/Hip Hop
86747,Jeunesse
86754,Jeunesse
86861,Electro
86946,Pop
86995,Musique africaine
87135,Pop
87396,Pop
87570,Electro
87643,Rap/Hip Hop
87712,Pop
87741,Pop
87768,Rap/Hip Hop
87832,Classique
87859,Pop
87916,Electro
88128,Latino
88274,Pop
88409,Jeunesse
88651,Classique
88675,Pop
88678,Pop
88693,Classique
88700,Pop
88784,Films/Jeux vidéo
88823,Films/Jeux vidéo
88871,Films/Jeux vidéo
88924,Musique africaine
88965,Classique
89030,Alternative
89032,Pop
89037,Rap/Hip Hop
89185,Rap/Hip Hop
89207,Electro
89347,Jazz
89430,Rock
89541,Rap/Hip Hop
89658,Electro
89740,Latino
89815,Electro
89921,Pop
89943,Rap/Hip Hop
89984,Dance
90112,Electro
90113,Country
90181,Electro
90228,Electro
90345,Pop
90351,Electro
90354,Electro
90363,Electro
90379,Pop
90409,Musique asiatique
90510,Jazz
90563,Electro
90625,Pop
90632,Jazz
90662,Pop
90681,Rap/Hip Hop
90874,Classique
90878,Films/Jeux vidéo
90879,Films/Jeux vidéo
90885,Electro
90910,Musique africaine
90955,Chanson française
90984,Musique africaine
90986,Pop
90987,Electro
90993,Pop
91079,Pop
91222,Pop
91344,Alternative
91346,Rock
91533,Rap/Hip Hop
91552,Rap/Hip Hop
91624,Alternative
91809,R&B
91823,Rap/Hip Hop
91825,Rap/Hip Hop
91850,Films/Jeux vidéo
91852,Livres audio
91863,Rock
91865,Films/Jeux vidéo
91870,Jeunesse
91876,Films/Jeux vidéo
91881,Pop
91944,Dance
91970,Electro
92237,Pop
92495,Electro
92506,Pop
92541,Rock
92575,Pop
92653,Dance
92758,Musique africaine
92768,Musique brésilienne
92770,Electro
92772,Pop
92783,Pop
92796,Pop
92814,Rap/Hip Hop
92854,Electro
92885,Dance
92998,Electro
93148,Latino
93172,Soul
93208,Classique
93247,Reggae
93267,Films/Jeux vidéo
93320,Country
93327,Pop
93330,R&B
93375,Dance
93385,Rock
93398,Musique africaine
93493,Latino
93514,Jeunesse
93649,Reggae
93654,Pop
93672,Electro
93691,Musique arabe
93720,Latino
93764,Rap/Hip Hop
93786,Rap/Hip Hop
93888,Folk
93910,Musique asiatique
93929,Films/Jeux vidéo
93937,Musique arabe
93947,Films/Jeux vidéo
93987,Pop
94046,Metal
94090,Musique asiatique
94108,Rap/Hip Hop
94126,Rock
94148,Reggae
94158,Musique indienne
94201,Folk
94219,Films/Jeux vidéo
94340,Pop
94398,Pop
94474,Rock
94490,Electro
94613,Pop
94712,Latino
94783,Musique asiatique
94862,Pop
94888,Rap/Hip Hop
94894,Musique asiatique
94947,Jeunesse
94960,Pop
95107,Dance
95233,Films/Jeux vidéo
95401,Jazz
95491,Pop
95608,Films/Jeux vidéo
95611,Rap/Hip Hop
95627,Classique
95780,Rap/Hip Hop
95785,Pop
95823,Classique
95824,Alternative
95954,Classique
96007,Classique
96044,Electro
96047,Musique africaine
96077,Spiritualité & religion
96102,Pop
96134,Classique
96222,Pop
96225,Alternative
96353,Folk
96385,Pop
96526,Pop
96534,Pop
96572,Classique
96587,Musique asiatique
96594,Pop
96611,Latino
96634,Pop
96690,Rap/Hip Hop
96816,Latino
96889,Rap/Hip Hop
96955,Films/Jeux vidéo
97027,Films/Jeux vidéo
97073,Alternative
97087,Films/Jeux vidéo
97092,Country
97141,Films/Jeux vidéo
97201,Pop
97221,Rap/Hip Hop
97225,Musique africaine
97275,Classique
97410,Electro
97422,Musique asiatique
97482,Alternative
97543,Classique
97557,Pop
97634,Pop
97703,Electro
97753,Classique
97765,Pop
97788,Chanson française
97790,Jeunesse
97893,Alternative
97924,Latino
97973,Pop
98052,Pop
98054,Jeunesse
98148,Pop
98183,Pop
98188,Pop
98323,Musique asiatique
98355,Pop
98522,Musique asiatique
98569,Films/Jeux vidéo
98582,Jazz
98612,Pop
98725,Pop
98753,Pop
98758,Jeunesse
98983,Rock
99035,Latino
99076,Musique asiatique
99113,Latino
99198,Rock
99372,Pop
99376,Pop
99390,Pop
99421,Pop
99434,Rock
99559,Latino
99629,Films/Jeux vidéo
99659,R&B
99691,Alternative
99756,Electro
99781,Folk
99865,Pop
99941,Alternative
99956,Classique
99975,Musique brésilienne
99998,Pop
100078,Jazz
100260,Pop
100323,R&B
100336,Pop
100351,Folk
100523,Electro
100560,Pop
100567,Pop
100583,R&B
100606,Musique indienne
100615,Musique asiatique
100683,Rock
100732,Rock
100768,Rap/Hip Hop
100862,R&B
100877,R&B
101000,Jazz
101020,Rap/Hip Hop
101126,Rock
101289,Alternative
101299,Alternative
101319,Jeunesse
101406,Pop
101409,Classique
101418,Pop
101426,Singer & Songwriter
101441,Rap/Hip Hop
101442,Pop
101478,Pop
101514,Pop
101516,Classique
101635,Pop
101677,Films/Jeux vidéo
101731,Sports
101748,Pop
101754,Latino
101803,Rap/Hip Hop
101845,Rap/Hip Hop
101894,Latino
101927,Electro
101998,Rap/Hip Hop
102038,Jazz
102059,Rap/Hip Hop
102075,Dance
102225,Country
102291,Rap/Hip Hop
102293,Classique
102338,Reggae
102353,Dance
102389,Pop
102441,Films/Jeux vidéo
102560,Pop
102573,Dance
102983,Pop
102984,Metal
103040,Classique
103068,Musique asiatique
103289,Pop
103301,Classique
103304,Pop
103532,Jeunesse
103605,Folk
103712,Pop
103721,Folk
103835,Alternative
103858,Pop
103887,Pop
103946,Rock
104156,Pop
104227,Electro
104244,Alternative
104349,Pop
104391,Pop
104426,Spiritualité & religion
104606,Films/Jeux vidéo
104831,Folk
104922,Rap/Hip Hop
104990,Latino
105081,Pop
105114,Folk
105167,Musique asiatique
105286,Electro
105339,Rock
105440,Films/Jeux vidéo
105466,Pop
105479,Pop
105480,Pop
105614,Pop
105618,Classique
105674,Jazz
105804,Pop
106026,Electro
106222,Electro
106350,Folk
106359,Pop
106503,Classique
106630,Pop
106718,Musique asiatique
106721,Musique asiatique
106729,Musique asiatique
106752,Films/Jeux vidéo
106785,Musique asiatique
106819,Rock
107430,Electro
107902,Classique
107973,Rap/Hip Hop
108002,Films/Jeux vidéo
108058,Electro
108079,Alternative
108143,Electro
108271,Musique asiatique
108499,Jazz
108648,Rap/Hip Hop
108850,Pop
109031,Jazz
109187,Rock
109297,Electro
109300,Alternative
109525,Rap/Hip Hop
109587,Musique indienne
109616,Jazz
109645,Jeunesse
109663,Jeunesse
109674,Pop
110176,Rap/Hip Hop
110448,Pop
110739,Films/Jeux vidéo
111138,Classique
111166,Pop
111227,Classique
111290,Musique asiatique
111294,Pop
111319,Classique
111479,Pop
111554,Jazz
111561,Rap/Hip Hop
111582,Musique arabe
111642,Dance
111679,Films/Jeux vidéo
111798,Rock
111856,Pop
111909,Rap/Hip Hop
111974,Jazz
112168,Rap/Hip Hop
112173,Pop
112209,Pop
112272,Classique
112273,Pop
112276,Pop
112414,Pop
112421,Pop
112434,Pop
112503,Electro
112547,Pop
112613,Electro
112617,Rap/Hip Hop
112626,Electro
112676,Latino
112688,Jazz
112724,Dance
112851,Pop
112870,Pop
112891,Rap/Hip Hop
113076,Classique
113083,Classique
113242,Musique asiatique
