dz_artist_id;dz_name;aliases;last_name_only;period_szk;period_s
170909;Franz Lehar;Franz Lehár | Lehar;T;;Romantique/Moderne
1712591;John Sheppard;John Sheppard;;;Renaissance
175175;Kurt Weill;Weill;T;Moderne;Moderne
176782;Giuseppe Torelli;Torelli;T;;Baroque
176783;Jean Francaix;Francaix;T;Moderne;
176784;Wolfgang Rihm;Wolfgang Rihm;T;NA;NA
189296;Paul Hindemith;Hindemith;T;Moderne;Moderne
1900;Johann Sebastian Bach;J.S Bach | Bach, J.S. | Bach;T;Baroque;Baroque
1905741;Luigi Nono;Luigi Nono;;;Moderne
1906111;Michel Corrette;Michel Correte;;;Baroque/Classique
191347;Sergei Rachmaninov;Rachmaninoff | Rachmaninov;T;Post-romantique;Romantique/Moderne
191731;Mikhail Glinka;Glinka;T;NA;NA
192279;Henryk Gorecki;Gorecki;T;;Moderne
196857;André Jolivet;Andre Jolivet;;Contemporaine;
1973141;Charles-Valentin Alkan;Charles-Valentin Alkan;;NA;NA
1973151;Mily Balakirev;Balakirev;T;Romantique;Romantique
200693;Pietro Locatelli;Pietro Locatelli;;;Baroque/Classique
200695;Ernest Bloch;Ernest Bloch;;Moderne;Romantique/Moderne
2012671;Veljo Tormis;Tormis;T;NA;NA
2013771;Kristjan Järvi;Kristjan Järvi;T;NA;NA
2013781;Guillaume Connesson;Connesson;T;NA;NA
2015481;Rodion Shchedrin;Rodion Chtchedrine | Shchedrin ;T;Moderne;
2016031;Lili Boulanger;Lili Boulanger | Boulanger;T;Moderne;Moderne
201677;Josef Strauss;Josef Strauss;F;;Romantique
2025231;Anton Arensky;Anton Arensky;;;Romantique
2037991;Alberic Magnard;Magnard;T;Moderne;
205644;Modest Mussorgsky;Mussorgsky | Moussorgsky;T;Romantique;Romantique
205651;Joaquin Turina;Turina;T;;Romantique/Moderne
205652;Francisco Tarrega;Francisco Tarrega;;Romantique;Romantique
205654;Max Bruch;Bruch;T;Romantique;Romantique/Moderne
205660;Jacques Offenbach;Offenbach;T;Romantique;Romantique
205661;Ralph Vaughan Williams;Vaughan Williams;F;Moderne;Romantique/Moderne
207198;Maurice Duruflé;Duruflé ;T;Contemporaine;Moderne
207645;Jean Sibelius;Sibelius;T;Romantique;Romantique/Moderne
209511;Heinz Holliger;Holliger;T;;Moderne
214883;Manuel Rosenthal;Manuel Rosenthal;;NA;NA
214967;Thomas Adès;Thomas Adès;;Contemporaine;
2396691;Valentin Silvestrov;Silvestrov;T;NA;NA
240609;Serge Koussevitzky;Sergei Koussevitzky;T;;Romantique/Moderne
242083;Darius Milhaud;Milhaud;T;Moderne;Moderne
243815;Fritz Kreisler;Kreisler;T;Moderne;Romantique/Moderne
243893;Georges Enesco;Georges Enesco;T;Moderne;
244605;Joaquin Rodrigo;Joaquim Rodrigo;;;Moderne
244954;Krzysztof Penderecki;Penderecki;T;Contemporaine;Moderne
255062;Carlos Chavez;Carlos Chavez;;;Moderne
255446;Alessandro Scarlatti;Alessandro Scarlatti;F;Baroque;Baroque
255496;Alfredo Casella;Alfredo Casella;;Moderne;
255497;Domenico Cimarosa;Cimarosa;T;;Classique
263694;Marc-Antoine Charpentier;Charpentier;T;Baroque;Baroque
264678;Elliott Carter;Elliott Carter | E. Carter;F;Contemporaine;Moderne
265778;William Bolcom;William Bolcom;;NA;NA
265779;GEORGE CRUMB;George Crumb | Crumb;T;;Moderne
265856;Robert Ashley;Robert Ashley;;;Moderne
266516;Frederic Rzewski;Frederic Rzewski;;NA;NA
2681;Leonard Bernstein;Bernstein;T;Moderne;Moderne
271045;Laurent Petitgirard;Petitgirard;T;NA;NA
2734;Erich Wolfgang Korngold;Korngold;T;Moderne;Moderne
2735571;Saverio Mercadante;Mercadante;T;Romantique;
2736;Meredith Monk;Meredith Monk;;Contemporaine;Contemporaine
2739451;Alexander von Zemlinsky;Alexander Von Zemlinsky | Zemlinsky;T;Moderne;Romantique/Moderne
2740;Moondog;Moondog;T;Contemporaine;Contemporaine
2760851;Mikalojus Konstantinas Ciurlionis;Ciurlionis;T;NA;NA
2842221;Alexander Scriabin;Alexander Scriabine | Alexander Scriabin;T;Moderne;Romantique
287147;John Philip Sousa;John Philip Sousa;;;Romantique/Moderne
289768;Georg Friedrich Haendel;Haendel | Händel | Handel;T;Baroque;
299162;Henry Cowell;Cowell;T;;Moderne
300956;Richard Rodney Bennett;Richard Rodney Bennett;;;Moderne
300958;Malcolm Arnold;Malcolm Arnold;;;Moderne
3012031;Alfonso X El Sabio;Alfonso X El Sabio;;;Médiévale
3014011;Johann Friedrich Franz Burgmüller;Friedrich Burgmüller;;NA;NA
3024651;Tristan Murail;Tristan Murail;;Contemporaine;
302634;Per Nørgård;Per Norgard | Nørgård;T;NA;NA
303712;Sergei Prokofiev;Prokofiev ;T;Moderne;Moderne
305399;Johann Strauss;Strauss, J.I  | J. Strauss I;F;Romantique;Romantique
307299;Carl Philipp Emanuel Bach;Carl Philipp Emanuel Bach;F;Classique;Baroque/Classique
309996;Louis Moreau Gottschalk;Gottschalk;T;;Romantique
309998;Pyotr Ilyich Tchaikovsky;Tchaikovsky | Tchaïkovsky | Tchaïkovski;T;Romantique;Romantique
310213;Samuel Scheidt;Samuel Scheidt;;Baroque;Baroque
324981;Karol Beffa;Karol Beffa;;NA;NA
3306031;Johann Gottlieb Goldberg;Goldberg | J.C. Goldberg;T;NA;NA
3309701;Carl Thiel;Carl Thiel;;NA;NA
3310501;Salvatore Sciarrino;Salvatore Sciarrino;T;NA;NA
3356411;Gérard Grisey;Gerard Grisey;;Contemporaine;
3378401;Fanny Mendelssohn;Fanny Mendelssohn;F;Romantique;Romantique
3380001;Olga Neuwirth;Olga Neuwirth;;NA;NA
3388181;Domenico Dragonetti;Dragonetti;T;NA;NA
3401411;Pawel Lukaszewski;Lukaszewski;T;NA;NA
3410041;Beat Furrer;Beat Furrer;T;NA;NA
342936;Vincent D'Indy;Vincent D'Indy;T;;Romantique/Moderne
349283;Edmon Colomer;Colomer;T;NA;NA
350942;Johann Christian Bach;Johann Christian Bach;F;Classique;Classique
353974;Federico Mompou;Frederico Mompou;T;;Moderne
359678;Germaine Tailleferre;Tailleferre;T;Moderne;Moderne
364343;Hector Berlioz;Berlioz;T;Romantique;Romantique
375793;Giacinto Scelsi;Giacinto Scelsi;T;Contemporaine;
379091;John Corigliano;Corigliano;T;;Moderne
386024;Dmitri Shostakovich;Chostakovitch | Shostakovich;T;Moderne;
391496;Hans Werner Henze;Henze;T;Contemporaine;Moderne
399011;Anton Bruckner;Bruckner;T;Post-romantique;Romantique
401509;Claudio Monteverdi;Monteverdi;T;Baroque;Renaissance/Baroque
4081;Antonio Vivaldi;Vivaldi;T;Baroque;Baroque
409729;John Rutter;John Rutter;;;Moderne
412086;Fausto Romitelli;Fausto Romitelli;;NA;NA
4124478;Charles Villiers Stanford;Stanford | Charles Villiers Stanford;T;;Romantique/Moderne
4180973;Jean-Joseph Cassanéa De Mondonville;Mondonville;T;Baroque;
4223883;La Monte Young;La Monte Young;;Moderne;Moderne
4225;Carl Orff;Orff;T;Moderne;Moderne
4228784;Witold Lutosławski;Lutoslawski;T;;Moderne
4230941;Peter Maxwell Davies;Maxwell Davies;;;Moderne
424760;Niccolò Paganini;Paganini;T;Pré-romantique;Classique/Romantique
425276;Michael Haydn;Michael Haydn;F;Classique;Classique
