dz_artist_id,sc_artist_id,mbz_artist_id
53742712,991868,NA
53742712,5065084,NA
54079802,5901632,f297016b-90ca-4963-8502-c38bce93d06b
55877602,5367634,fa184d0a-88f2-4c0b-bd06-079ec3c039de
59874922,5297258,NA
64501702,4857976,NA
67181132,5065087,NA
71363652,5942055,NA
72081862,5396584,54018f7a-d754-4018-8784-da348f6cb50a
74322952,5738220,f97bbb70-aa49-4300-b607-c0acc31d7661
74514052,5733815,530a23b3-f130-4aac-b82a-4759ece060a3
78498562,5242425,NA
81094772,5981812,NA
90567882,5603993,de20e632-8ac2-417e-8c22-ab3bcd20d38d
101037322,6934431,NA
105047672,6330126,2b67658e-429f-425a-adf5-345b13112fc1
113077102,5538698,NA
115903562,5769346,NA
118834232,5998312,NA
152271032,8056313,NA
5593078,5234188,NA
5877213,4289611,1a38eb50-a481-439b-8f03-1a4ea511d682
107059632,5574891,NA
17076,565093,NA
4822547,11077,NA
159051,1970130,e0815132-4d1b-4f3a-b738-0fe8f6d223f9
159052,1207544,NA
159053,1201291,NA
159054,1510266,NA
159055,1201292,NA
159056,1201294,NA
159057,1201293,NA
121720672,6105635,NA
394667,6737134,NA
5595093,777557,NA
52417942,6853108,NA
14363789,731543,NA
6139768,5803015,NA
9190538,5576631,NA
408312,579537,24c6cbb9-2eb4-41bb-ad73-5e2f8df379ee
7932092,3986763,NA
9653026,5007564,NA
5101136,4815336,NA
794652,859020,8972171b-4ac8-4ffe-a23e-1068b670e2f9
128722342,5755720,NA
9658096,5321241,e0c82ddb-81e4-427d-a0f1-5fee49044244
14231175,5728612,NA
424531,1278838,NA
450109,5263648,NA
603844,656834,NA
805191,2274849,NA
439942,604543,NA
891594,723481,NA
204766887,592637,NA
893313,1077218,NA
157687,1162578,NA
139441,1784632,NA
380924,3445998,NA
406144,680406,NA
149013,563394,NA
455232,3589735,NA
170950,1306962,NA
152896,3608610,NA
853343,592637,NA
853343,625015,NA
160733,563834,NA
1194569,848777,5b8c7c19-34b5-4196-b9f8-5ff2b514282d
400124,3299564,NA
9117,46498,NA
144303,567911,NA
1424742,789245,NA
1424742,888099,NA
6589910,5680227,NA
303257,23,NA
345686,1849771,NA
380482,3694407,NA
182573,769346,NA
821544,1177981,NA
152615,1398244,NA
372804,568502,NA
372804,84096,NA
453907,1165386,NA
816085,784712,NA
1117891,534450,NA
105926,826952,NA
331334,751065,NA
1479407,4661208,NA
425262,678007,NA
150356,1795946,NA
253620,571255,NA
