art_id,lang,nb_songs
14902,en,64
1564010,en,39
342639,en,72
102653,en,51
55678,en,39
17103,en,83
1044,en,33
86421,en,42
2635,en,61
1153531,en,34
13923487,en,52
507954,en,49
10147346,fr,58
5425093,en,87
469469,es,69
300933,en,60
12068,es,37
9976422,fr,43
11263720,en,33
7988922,pt,47
7174,en,32
7554724,pt,46
16675,en,57
741,fr,33
12220,en,36
8133,fr,46
3713,en,44
4931162,en,55
984734,en,59
68021352,en,36
536718,fr,63
4594851,tr,45
99971,en,32
3883521,en,66
872281,en,36
298210,en,56
1330570,ar,49
186235,it,73
10668131,en,58
1192371,en,40
15105325,ru,32
5819605,en,49
12210,en,44
99590,en,34
1155427,fr,38
117527,en,57
1223,en,88
186017,en,85
2471031,en,69
5806,en,54
406521,en,66
12588946,es,31
5838830,fr,34
241877,en,32
2699111,en,36
110793,en,39
382772,sv,42
14361,en,31
4657,en,32
79767,en,41
70168,en,37
123285,en,46
2844,en,37
2109,de,33
68671052,ja,44
14782,en,71
50633822,pt,37
190210,en,34
13548033,en,55
10883498,en,32
11070000,en,46
13314465,en,37
5369539,es,36
83305,en,533
7595,en,174
1627253,en,32
2202,en,248
7613,pt,445
306898,en,232
10172688,en,35
6859,en,689
1650,en,135
17170,ja,43
6125,es,162
5817,en,74
4102748,en,1140
1017735,en,61
75602,en,174
6166,de,390
394885,en,62
4400138,en,78
10448666,de,164
2620,en,75
6542,en,155
21,fr,520
413509,en,57
2127,en,185
94600,es,58
10156246,en,47
6108,it,111
4044715,en,33
4729,en,113
3509,en,521
6450,en,82
7898,es,61
384236,en,278
373,en,124
5678,es,170
13888,en,83
8814,en,209
11220414,fr,73
13552757,pt,53
54286,fr,83
404391,en,50
807654,en,39
2637,de,47
71846,en,820
6479075,en,79
11907,fr,154
2159,en,253
835,en,44
5333,en,347
150812,en,115
1235197,en,49
1123686,en,32
2554,en,206
103673,en,164
65761,en,225
12205,en,120
3040,en,166
5395257,da,71
11600,en,56
1477615,en,53
16206,sv,172
4716,en,132
445137,en,495
90570,en,40
358,fr,510
5179221,es,243
826,fr,86
5058009,ja,116
61681,en,211
1943,en,69
1419075,id,40
13953,en,185
13462,en,55
97638282,en,183
309214,en,33
261649,en,55
3420,en,145
5414,en,680
522533,en,55
143,en,144
7398454,en,67
7568,en,198
243284,fr,103
12471680,pt,82
1180218,en,131
571758,en,81
6853437,en,32
7625,en,81
9871134,nl,41
1274,en,73
77544,en,169
472319,en,50
147184,pt,147
74254,en,331
218,en,193
101529,es,226
11697079,en,83
8120133,ru,88
